a) 6   b) 7    c) 8   d) 9
a) Rotação   b) Translação    c) Corrida   d) Triangular
a) Sol  b) Andromeda  c) Orion   d) Capricornio
a) Terra     b) Saturno     c) Netuno       d) Júpiter
a) Netuno    b) Mercurio   c) Venus    d) Urano
a) Terra  b) Vênus  c) Marte  d) Mercurio
a) Iuri Gargarin  b) Elon Musk  c) Neil Armstrong  d) Galileu Galilei
a) Iuri Gargarin  b) Elon Musk  c) Neil Armstrong  d) Galileu Galilei
a) Mercurio       b) Venus        c) Terra     d) Marte
a) circular, triangular, piramide e cheia           b) nova, crescente, cheia e minguante          c) nova, velha, idosa e bebe      d) grande, média, mediana e elipse
a) Antares       b) Regulus        c) Sirius     d) Aldebaran
a) Antares       b) Alfha Centauri        c) Sirius     d) Sol
a) Antares       b) Sol        c) Sirius     d) Proxima Centauri
a) Jupiter       b) Jupiter e Saturno        c) Jupiter, Saturno e Urano     d) Jupiter, Saturno, Urano e Netuno
a) Plutão       b) Haumea        c) Ceres     d) MakeMake
a) Azul       b) Branca        c) Amarela     d) Vermelha
a) Hubble       b) Lua        c) Sol     d) James Webb
a) Rotação   b) Geoide    c) Corrida   d) Translação
a) 5   b) 6    c) 7   d) 8
a) Jupiter       b) Marte        c) Venus     d) Saturno
a) 78       b) 80        c) 82     d) 84
a) SuperNova       b) SuperVelha        c) Fusão     d) Gravidade
a) Humano   b) Cachorro    c) Gato   d) Lobo
a) Mercurio e Marte       b) Venus e Terra        c) Urano e Terra     d) Mercurio e Venus
a) Lua       b) Ganimedes        c) Phobos     d) Tita
a) Netuno       b) Jupiter        c) Saturno     d) Urano
a) Marte, Jupiter, Saturno e Plutao       b) Mercurio, Venus, Terra e Marte        c) Terra, Marte, Júpiter e Saturno     d) Jupiter, Saturno, Urano e Netuno
a) 1969       b) 1979        c) 1981     d) 1991
a) Marte, Jupiter, Saturno e Plutao       b) Mercurio, Venus, Terra e Marte        c) Terra, Marte, Júpiter e Saturno     d) Jupiter, Saturno, Urano e Netuno
a) Apollo 11       b) Sputnik 1        c) Juno     d) Apollo 5
a) Um satelite natural da Terra       b) Um Planeta        c) Um asteroides     d) Uma Estrela
a) Terra       b) Jupiter        c) Urano     d) Netuno
a) Jupiter       b) Urano        c) Netuno     d) Terra
a) Jupiter       b) Marte        c) Netuno     d) Venus
a) Relogio Solar       b) Microscopio        c) Telescopio     d) Radio
a) Cabeça de Cavalo       b) Tarantula        c) Andromeda     d) Via Lactea
a) Mercurio       b) Venus        c) Terra     d) Jupiter
a) Antares       b) Sol        c) Sirius     d) Proxima Centauri
a) Mercurio       b) Netuno        c) Jupiter     d) Plutao
a) Mercurio, Venus, Terra, Marte, Jupiter, Saturno, Urano e﻿ Netuno.       b) Sol, Venus, Terra, Marte, Jupiter, Urano e Netuno        c) Lua, Netuno, Terra, Marte e Jupiter.     d) Nenhuma das Alternativas
a) 15 dias       b) 1 mes        c) 1 ano     d) 10 anos
a) Escorpião       b) Cao Maior        c) Capricornio     d) Orion
a) Eclipse Solar       b) Eclipse Cheio        c) Eclipse Vazio     d) Eclipse Lunar
a) Eclipse Solar       b) Eclipse Cheio        c) Eclipse Lunar     d) Eclipse Vazio
a) Mercurio e Marte       b) Mercurio e Jupiter        c) Venus e Jupiter     d) Venus e Marte
a) Primeira Posicao       b) Segunda Posicao        c) Terceira Posicao     d) Quarta Posicao
a) Planetas Frios       b) Planetas Anoes        c) Planetas Quentes     d) Planetas Abandonados
a) Planetas Rochosos       b) Planetas Gagosos        c) Planetas Desabitados     d) Planetas Abandonados
a) 65       b) 165        c) 265     d) 365
a) Aristoteles       b) Galileu Galilei        c) Isaac Newton     d) Albert Einstein
a) Netuno       b) Mercurio        c) Terra     d) Lua
a) Eclipse       b) Lua Cheia        c) Aurora Boreal     d) Lua de Sangue
a) Uma volta       b) Duas Voltas        c) Tres Voltas     d) Quatro Voltas
a) Astrologia       b) Astronomia        c) Sociologia     d) Fisica
a) Marte e Netuno       b) Terra e Urano        c) Venus e Saturno     d) Mercurio e Jupiter
a) Io, Calisto, Ganimedes e Europa       b) Tita, Calisto, Ganimedes e Lua        c) Phomos, Deimos, Tritão e Ganimedes     d) Io, Calisto, Europa e Titania
a) Asteroides       b) Sol        c) Lua     d) Cometa
a) Aries       b) Capricornio        c) Cruzeiro do Sul     d) Cao Maior
a) Big Bang       b) Eclipse        c) Geocentrismo     d) Big Crunch
a) Volume       b) Massa        c) Velocidade     d) Distancia
a) Asteroide       b) Meteorito        c) Cometa     d) Meteoro
a) Meteorito       b) Ano-Luz        c) Gás     d) Meteoro
a) Asteroide       b) Meteorito        c) Cometa     d) Meteoro
a) Asteroide       b) Meteorito        c) Cometa     d) Meteoro
a) SUS       b) Mc'Donalds        c) WARNER BROS     d) NASA
a) Norte       b) Sul        c) Leste     d) Oeste
a) Norte       b) Oeste        c) Leste     d) Sul
a) Urano       b) Terra        c) Netuno     d) Jupiter
a) Nenhum       b) 1        c) 2     d) 3
a) Mercurio       b) Venus        c) Terra     d) Marte
a) Mercurio       b) Venus        c) Terra     d) Marte
a) Mercurio       b) Venus        c) Jupiter     d) Terra
a) Mercurio       b) Venus        c) Marte     d) Terra
a) Netuno       b) Urano        c) Saturno     d) Jupiter
a) Netuno       b) Urano        c) Saturno     d) Jupiter
a) Netuno       b) Urano        c) Saturno     d) Jupiter
a) Netuno       b) Urano        c) Saturno     d) Jupiter
a) Tita e Encelado       b) Titania e Miranda        c) Io e Ganimedes     d) Fobos e Deimos
a) Hidrogenio e Oxigenio       b) Ferro e Niquel        c) Helio e Mercurio     d) Litio e Magnesio
a) Constelacao       b) Buraco Negro        c) Planeta     d) Meteorito
a) Netuno       b) Urano        c) Venus     d) Marte
a) Venus       b) Terra        c) Jupiter     d) Marte
a) Sistema Solar       b) Planeta        c) Cometa     d) Multiverso
a) Plana       b) Geoide        c) Triangular     d) Quadrada
a) Apollo       b) Luna        c) Laika     d) Lucy
a) Mercurio       b) Marte       c) Urano     d) Plutao
a) Uniao Sovietica       b) Estados Unidos       c) China     d) Brasil
a) flamejantes       b) iluminados       c) brilhantes     d) resplandecentes
a) planeta       b) estrela       c) satelite natural     d) satelite artificial
a) estrela       b) asteroides       c) buraco negro     d) satelites naturais
a) Ares e Hermes        b) Cronos e Apolo        c) Zeus e Hermes       d) Dionisio e Demeter
a) Eliptica        b) Rotacao        c) Geoide       d) Orbita
a) Eliptica        b) Rotacao        c) Circular       d) Orbita
a) Oscilacao        b) Translacao        c) Circular       d) Rotacao
a) 2 minutos        b) 4 minutos        c) 8 minutos       d) 16 minutos
a) Big Bang        b) Big Bum        c) Big Bam       d) Big Brother
a) Constelações Primaverial        b) Constelações Solar        c) Constelações do Inverno       d)  Constelações Zodiacais
a) Capricornio        b) Gemeos        c) Cao Maior       d) Aries
a) Urano        b) Netuno        c) Io       d) Titã
a) Phobos        b) Io        c) Calisto       d) Ganimedes
a) Phobos        b) Plutao        c) Ceres       d) Haumea
a) Jupiter        b) Plutao        c) Marte       d) Terra
a) Jupiter        b) Plutao        c) Marte       d) Venus
a) Estrela        b) Planeta        c) Asteroide       d) Buraco Negro
a) Professor        b) Engenheiro        c) Astrounauta       d) Medico
a) Foguete        b) Carro        c) Navio       d) Trem
a) Carro        b) Satelite Materno        c) Satelite Natural       d) Satelite Artificial
a) Satelite Natural        b) Estrela        c) Satelite Materno       d) Satelite Artificial
a) Venus        b) Terra        c) Marte       d) Jupiter
a) 11        b) 13        c) 15       d) 17
a) Mercurio        b) Venus        c) Terra       d) Marte
